"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:0017111",3,"GO:0016887",7.40703088011834,697,"ribonucleoside triphosphate phosphatase activity","ATP hydrolysis activity",0.885514150943396,0.435133333333333,0.905,"GO terms - g:Profiler only (no BG)"
"GO:0030515",4,"GO:0003723",7.40639586429301,34,"snoRNA binding","RNA binding",0.886877358490566,0.520227272727273,0.641,"GO terms - g:Profiler only (no BG)"
"GO:0060090",14,"GO:0030674",7.26000656750568,1355,"molecular adaptor activity","protein-macromolecule adaptor activity",0.977759433962264,0.326428571428571,0.96,"GO terms - g:Profiler only (no BG)"
"GO:0016740",1,"GO:0003824",7.19069190617473,2256,"transferase activity","catalytic activity",0.848287735849057,0.617666666666667,0.63,"GO terms - g:Profiler only (no BG)"
"GO:0061629",9,"GO:0008134",6.69965932287909,387,"RNA polymerase II-specific DNA-binding transcription factor binding","transcription factor binding",0.918966981132076,0.281,0.909,"GO terms - g:Profiler only (no BG)"
"GO:0070034",4,"GO:0003723",6.58054759204803,22,"telomerase RNA binding","RNA binding",0.892235849056604,0.553181818181818,0.618,"GO terms - g:Profiler only (no BG)"
"GO:0043022",21,"GO:0043021",5.73816045261614,120,"ribosome binding","ribonucleoprotein complex binding",0.935306603773585,0.3649,0.954,"GO terms - g:Profiler only (no BG)"
"GO:0035064",30,"GO:0035064",5.55118773040829,129,"methylated histone binding","methylated histone binding",0.939665094339623,0.359333333333333,0,"GO terms - g:Profiler only (no BG)"
"GO:0140034",30,"GO:0035064",5.44601178149675,131,"methylation-dependent protein binding","methylated histone binding",0.943117924528302,0.358666666666667,0.996,"GO terms - g:Profiler only (no BG)"
"GO:0140030",30,"GO:0035064",5.37494385662835,248,"modification-dependent protein binding","methylated histone binding",0.940056603773585,0.382,0.926,"GO terms - g:Profiler only (no BG)"
"GO:1990841",12,"GO:0003682",5.3188258699284,81,"promoter-specific chromatin binding","chromatin binding",0.959127358490566,0.4552,0.794,"GO terms - g:Profiler only (no BG)"
"GO:0034513",4,"GO:0003723",5.31706717704895,5,"box H/ACA snoRNA binding","RNA binding",0.899216981132075,0.566818181818182,0.554,"GO terms - g:Profiler only (no BG)"
"GO:0001099",8,"GO:0001099",5.25697081283731,65,"basal RNA polymerase II transcription machinery binding","basal RNA polymerase II transcription machinery binding",0.93788679245283,0.30075,0,"GO terms - g:Profiler only (no BG)"
"GO:0001098",8,"GO:0001099",5.25697081283731,65,"basal transcription machinery binding","basal RNA polymerase II transcription machinery binding",0.93788679245283,0.30075,0.999,"GO terms - g:Profiler only (no BG)"
"GO:0003713",14,"GO:0030674",5.18621733674301,273,"transcription coactivator activity","protein-macromolecule adaptor activity",0.978349056603774,0.344285714285714,0.83,"GO terms - g:Profiler only (no BG)"
"GO:0003712",14,"GO:0030674",5.15281906899999,504,"transcription coregulator activity","protein-macromolecule adaptor activity",0.977212264150943,0.309857142857143,0.893,"GO terms - g:Profiler only (no BG)"
"GO:0008270",2,"GO:1901363",5.071169312148,737,"zinc ion binding","heterocyclic compound binding",0.919542452830189,0.455692307692308,0.536,"GO terms - g:Profiler only (no BG)"
"GO:0003727",4,"GO:0003723",4.85893878269107,100,"single-stranded RNA binding","RNA binding",0.879018867924528,0.504318181818182,0.715,"GO terms - g:Profiler only (no BG)"
"GO:0010485",19,"GO:0010485",4.75514231763608,23,"histone H4 acetyltransferase activity","histone H4 acetyltransferase activity",0.856655660377359,0.223736842105263,0,"GO terms - g:Profiler only (no BG)"
"GO:0034212",19,"GO:0010485",4.73352944684921,52,"peptide N-acetyltransferase activity","histone H4 acetyltransferase activity",0.854292452830189,0.200157894736842,0.922,"GO terms - g:Profiler only (no BG)"
"GO:0008080",19,"GO:0010485",4.50125026644179,77,"N-acetyltransferase activity","histone H4 acetyltransferase activity",0.852452830188679,0.202842105263158,0.894,"GO terms - g:Profiler only (no BG)"
"GO:0000339",4,"GO:0003723",4.31027395559962,15,"RNA cap binding","RNA binding",0.890094339622642,0.530272727272727,0.616,"GO terms - g:Profiler only (no BG)"
"GO:0004402",19,"GO:0010485",4.2807192961572,42,"histone acetyltransferase activity","histone H4 acetyltransferase activity",0.849985849056604,0.201368421052632,0.942,"GO terms - g:Profiler only (no BG)"
"GO:0043023",21,"GO:0043021",4.17693811805915,17,"ribosomal large subunit binding","ribonucleoprotein complex binding",0.943231132075472,0.4334,0.822,"GO terms - g:Profiler only (no BG)"
"GO:0061733",19,"GO:0010485",4.0847399617018,46,"peptide-lysine-N-acetyltransferase activity","histone H4 acetyltransferase activity",0.849042452830189,0.20021052631579,0.932,"GO terms - g:Profiler only (no BG)"
"GO:0046914",2,"GO:1901363",4.08090511676528,1046,"transition metal ion binding","heterocyclic compound binding",0.915509433962264,0.428538461538462,0.569,"GO terms - g:Profiler only (no BG)"
"GO:0046972",19,"GO:0010485",3.71601054143726,4,"histone H4K16 acetyltransferase activity","histone H4 acetyltransferase activity",0.876825471698113,0.328157894736842,0.865,"GO terms - g:Profiler only (no BG)"
"GO:0043996",19,"GO:0010485",3.64612575147915,11,"histone H4K8 acetyltransferase activity","histone H4 acetyltransferase activity",0.87161320754717,0.300842105263158,0.9,"GO terms - g:Profiler only (no BG)"
"GO:0043995",19,"GO:0010485",3.64612575147915,11,"histone H4K5 acetyltransferase activity","histone H4 acetyltransferase activity",0.871198113207547,0.298631578947368,0.903,"GO terms - g:Profiler only (no BG)"
"GO:0016787",3,"GO:0016887",3.63421530820305,2435,"hydrolase activity","ATP hydrolysis activity",0.869990566037736,0.450533333333333,0.62,"GO terms - g:Profiler only (no BG)"
"GO:0016410",19,"GO:0010485",3.58011295329942,100,"N-acyltransferase activity","histone H4 acetyltransferase activity",0.85188679245283,0.215052631578947,0.873,"GO terms - g:Profiler only (no BG)"
"GO:0016922",9,"GO:0008134",3.52578053475076,158,"nuclear receptor binding","transcription factor binding",0.922816037735849,0.291625,0.841,"GO terms - g:Profiler only (no BG)"
"GO:0043997",19,"GO:0010485",3.50284182586054,12,"histone H4K12 acetyltransferase activity","histone H4 acetyltransferase activity",0.871198113207547,0.298631578947368,0.903,"GO terms - g:Profiler only (no BG)"
"GO:0003725",4,"GO:0003723",3.43426212180855,82,"double-stranded RNA binding","RNA binding",0.881358490566038,0.512772727272727,0.698,"GO terms - g:Profiler only (no BG)"
"GO:0016407",19,"GO:0010485",3.4010687685455,104,"acetyltransferase activity","histone H4 acetyltransferase activity",0.852033018867925,0.21421052631579,0.876,"GO terms - g:Profiler only (no BG)"
"GO:0032135",13,"GO:0032135",3.38267486605283,5,"DNA insertion or deletion binding","DNA insertion or deletion binding",0.891929245283019,0.299777777777778,0,"GO terms - g:Profiler only (no BG)"
"GO:0003688",13,"GO:0032135",3.3743277780601,15,"DNA replication origin binding","DNA insertion or deletion binding",0.906603773584906,0.681333333333333,0.372,"GO terms - g:Profiler only (no BG)"
"GO:0016972",24,"GO:0016972",3.35582205149211,6,"thiol oxidase activity","thiol oxidase activity",0.919287735849057,0.251333333333333,0,"GO terms - g:Profiler only (no BG)"
"GO:0016772",15,"GO:0016772",3.27297818781007,898,"transferase activity, transferring phosphorus-containing groups","transferase activity, transferring phosphorus-containing groups",0.848896226415094,0.349,0,"GO terms - g:Profiler only (no BG)"
"GO:0140463",14,"GO:0030674",3.17899260492386,38,"chromatin-protein adaptor activity","protein-macromolecule adaptor activity",0.980504716981132,0.409571428571429,0.679,"GO terms - g:Profiler only (no BG)"
"GO:0106222",4,"GO:0003723",3.14501349631012,29,"lncRNA binding","RNA binding",0.892995283018868,0.556,0.613,"GO terms - g:Profiler only (no BG)"
"GO:1990935",39,"GO:1990935",3.13458080457833,6,"splicing factor binding","splicing factor binding",0.960801886792453,1,0,"GO terms - g:Profiler only (no BG)"
"GO:0030628",4,"GO:0003723",3.13458080457833,7,"pre-mRNA 3'-splice site binding","RNA binding",0.900853773584906,0.585954545454545,0.558,"GO terms - g:Profiler only (no BG)"
"GO:0032405",21,"GO:0043021",3.13458080457833,6,"MutLalpha complex binding","ribonucleoprotein complex binding",0.951240566037736,0.5575,0.475,"GO terms - g:Profiler only (no BG)"
"GO:0035035",7,"GO:0019899",3.0914830797754,30,"histone acetyltransferase binding","enzyme binding",0.943811320754717,0.6068,0.548,"GO terms - g:Profiler only (no BG)"
"GO:0019904",26,"GO:0019904",3.02223211680051,834,"protein domain specific binding","protein domain specific binding",0.940009433962264,0.692,0,"GO terms - g:Profiler only (no BG)"
"GO:0016864",17,"GO:0016853",2.93443490317379,18,"intramolecular oxidoreductase activity, transposing S-S bonds","isomerase activity",0.912287735849057,0.32075,0.81,"GO terms - g:Profiler only (no BG)"
"GO:0003756",17,"GO:0016853",2.93443490317379,18,"protein disulfide isomerase activity","isomerase activity",0.894330188679245,0.32075,0.81,"GO terms - g:Profiler only (no BG)"
"GO:0003730",4,"GO:0003723",2.92757664163524,127,"mRNA 3'-UTR binding","RNA binding",0.874608490566038,0.470681818181818,0.727,"GO terms - g:Profiler only (no BG)"
"GO:0016773",15,"GO:0016772",2.92757664163524,683,"phosphotransferase activity, alcohol group as acceptor","transferase activity, transferring phosphorus-containing groups",0.8505,0.3368,0.935,"GO terms - g:Profiler only (no BG)"
"GO:0016746",19,"GO:0010485",2.91349449380955,719,"acyltransferase activity","histone H4 acetyltransferase activity",0.844872641509434,0.290842105263158,0.693,"GO terms - g:Profiler only (no BG)"
"GO:0031491",12,"GO:0003682",2.85357063249831,54,"nucleosome binding","chromatin binding",0.935382075471698,0.397,0.773,"GO terms - g:Profiler only (no BG)"
"GO:0019843",4,"GO:0003723",2.81163914139248,73,"rRNA binding","RNA binding",0.883910377358491,0.522136363636364,0.679,"GO terms - g:Profiler only (no BG)"
"GO:0042826",7,"GO:0019899",2.80716328978066,143,"histone deacetylase binding","enzyme binding",0.936702830188679,0.5605,0.64,"GO terms - g:Profiler only (no BG)"
"GO:0017070",4,"GO:0003723",2.76994097232466,13,"U6 snRNA binding","RNA binding",0.895377358490566,0.554318181818182,0.584,"GO terms - g:Profiler only (no BG)"
"GO:0016670",24,"GO:0016972",2.73982477348328,12,"oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor","thiol oxidase activity",0.916174528301887,0.255833333333333,0.956,"GO terms - g:Profiler only (no BG)"
"GO:0016866",17,"GO:0016853",2.7315493602571,26,"intramolecular transferase activity","isomerase activity",0.906698113207547,0.293625,0.87,"GO terms - g:Profiler only (no BG)"
"GO:0000993",7,"GO:0019899",2.72726762061234,39,"RNA polymerase II complex binding","enzyme binding",0.921353773584906,0.4804,0.576,"GO terms - g:Profiler only (no BG)"
"GO:0032143",13,"GO:0032135",2.66650484192323,2,"single thymine insertion binding","DNA insertion or deletion binding",0.90072641509434,0.334888888888889,0.921,"GO terms - g:Profiler only (no BG)"
"GO:0004520",3,"GO:0016887",2.61870569340417,42,"DNA endonuclease activity","ATP hydrolysis activity",0.875297169811321,0.4222,0.403,"GO terms - g:Profiler only (no BG)"
"GO:0032356",6,"GO:0097159",2.58591834889742,11,"oxidized DNA binding","organic cyclic compound binding",0.904646226415094,0.5485,0.338,"GO terms - g:Profiler only (no BG)"
"GO:0036408",19,"GO:0010485",2.58591834889742,9,"histone H3K14 acetyltransferase activity","histone H4 acetyltransferase activity",0.872509433962264,0.310842105263158,0.803,"GO terms - g:Profiler only (no BG)"
"GO:0070063",7,"GO:0019899",2.54722581781943,64,"RNA polymerase binding","enzyme binding",0.934415094339623,0.4702,0.603,"GO terms - g:Profiler only (no BG)"
"GO:0043175",7,"GO:0019899",2.47260545565727,44,"RNA polymerase core enzyme binding","enzyme binding",0.935948113207547,0.4775,0.581,"GO terms - g:Profiler only (no BG)"
"GO:0008353",15,"GO:0016772",2.45167561896142,10,"RNA polymerase II CTD heptapeptide repeat kinase activity","transferase activity, transferring phosphorus-containing groups",0.895009433962264,0.533866666666667,0.544,"GO terms - g:Profiler only (no BG)"
"GO:0017116",18,"GO:0004386",2.45167561896142,23,"single-stranded DNA helicase activity","helicase activity",0.89663679245283,0.453666666666667,0.835,"GO terms - g:Profiler only (no BG)"
"GO:0001091",8,"GO:0001099",2.38354991439252,26,"RNA polymerase II general transcription initiation factor binding","basal RNA polymerase II transcription machinery binding",0.923787735849057,0.30075,0.93,"GO terms - g:Profiler only (no BG)"
"GO:0009982",17,"GO:0016853",2.37681430503901,13,"pseudouridine synthase activity","isomerase activity",0.910731132075472,0.309875,0.825,"GO terms - g:Profiler only (no BG)"
"GO:0032404",21,"GO:0043021",2.32979694383432,11,"mismatch repair complex binding","ribonucleoprotein complex binding",0.947891509433962,0.5322,0.512,"GO terms - g:Profiler only (no BG)"
"GO:0000014",3,"GO:0016887",2.32979694383432,14,"single-stranded DNA endodeoxyribonuclease activity","ATP hydrolysis activity",0.887037735849057,0.466666666666667,0.359,"GO terms - g:Profiler only (no BG)"
"GO:0016301",15,"GO:0016772",2.29464036623891,734,"kinase activity","transferase activity, transferring phosphorus-containing groups",0.849882075471698,0.341533333333333,0.946,"GO terms - g:Profiler only (no BG)"
"GO:1990583",38,"GO:1990583",2.25451041991676,3,"phospholipase D activator activity","phospholipase D activator activity",1,1,0,"GO terms - g:Profiler only (no BG)"
"GO:0032137",13,"GO:0032135",2.25451041991676,3,"guanine/thymine mispair binding","DNA insertion or deletion binding",0.900372641509434,0.369333333333333,0.858,"GO terms - g:Profiler only (no BG)"
"GO:0032139",13,"GO:0032135",2.25451041991676,3,"dinucleotide insertion or deletion binding","DNA insertion or deletion binding",0.897919811320755,0.329444444444444,0.949,"GO terms - g:Profiler only (no BG)"
"GO:0032142",13,"GO:0032135",2.25451041991676,3,"single guanine insertion binding","DNA insertion or deletion binding",0.899462264150943,0.328333333333333,0.932,"GO terms - g:Profiler only (no BG)"
"GO:0016971",24,"GO:0016972",2.25451041991676,3,"flavin-dependent sulfhydryl oxidase activity","thiol oxidase activity",0.905712264150943,0.262,0.974,"GO terms - g:Profiler only (no BG)"
"GO:0031490",12,"GO:0003682",2.25415892896763,121,"chromatin DNA binding","chromatin binding",0.883,0.3906,0.822,"GO terms - g:Profiler only (no BG)"
"GO:0016667",24,"GO:0016972",2.24891782913919,54,"oxidoreductase activity, acting on a sulfur group of donors","thiol oxidase activity",0.907344339622641,0.259,0.839,"GO terms - g:Profiler only (no BG)"
"GO:0000340",4,"GO:0003723",2.2421818403321,13,"RNA 7-methylguanosine cap binding","RNA binding",0.893212264150943,0.542045454545454,0.594,"GO terms - g:Profiler only (no BG)"
"GO:0004672",15,"GO:0016772",2.19715242079706,580,"protein kinase activity","transferase activity, transferring phosphorus-containing groups",0.844033018867925,0.329266666666667,0.915,"GO terms - g:Profiler only (no BG)"
"GO:0042802",23,"GO:0005515",2.19063139199621,2531,"identical protein binding","protein binding",0.934801886792453,0.7945,0.411,"GO terms - g:Profiler only (no BG)"
"GO:0043130",28,"GO:0043130",2.19022612218596,101,"ubiquitin binding","ubiquitin binding",0.948165094339623,0.5095,0,"GO terms - g:Profiler only (no BG)"
"GO:0030983",13,"GO:0032135",2.15357674929711,12,"mismatched DNA binding","DNA insertion or deletion binding",0.888056603773585,0.312666666666667,0.954,"GO terms - g:Profiler only (no BG)"
"GO:0004518",3,"GO:0016887",2.11153379478686,204,"nuclease activity","ATP hydrolysis activity",0.885202830188679,0.395333333333333,0.472,"GO terms - g:Profiler only (no BG)"
"GO:0015036",24,"GO:0016972",2.06919710571126,40,"disulfide oxidoreductase activity","thiol oxidase activity",0.909462264150943,0.247333333333333,0.87,"GO terms - g:Profiler only (no BG)"
"GO:0016860",17,"GO:0016853",2.06304827196781,63,"intramolecular oxidoreductase activity","isomerase activity",0.903905660377359,0.2885,0.904,"GO terms - g:Profiler only (no BG)"
"GO:0035925",4,"GO:0003723",2.02618187135595,32,"mRNA 3'-UTR AU-rich region binding","RNA binding",0.887834905660377,0.520227272727273,0.63,"GO terms - g:Profiler only (no BG)"
"GO:0140566",14,"GO:0030674",2.02618187135595,25,"histone reader activity","protein-macromolecule adaptor activity",0.981056603773585,0.426285714285714,0.652,"GO terms - g:Profiler only (no BG)"
"GO:1990599",3,"GO:0016887",2.01118958584531,5,"3' overhang single-stranded DNA endodeoxyribonuclease activity","ATP hydrolysis activity",0.894900943396226,0.5022,0.332,"GO terms - g:Profiler only (no BG)"
"GO:0032138",13,"GO:0032135",2.01118958584531,4,"single base insertion or deletion binding","DNA insertion or deletion binding",0.894655660377358,0.304222222222222,0.973,"GO terms - g:Profiler only (no BG)"
"GO:0046982",34,"GO:0046982",1.99390327901905,316,"protein heterodimerization activity","protein heterodimerization activity",0.944518867924528,0.581,0,"GO terms - g:Profiler only (no BG)"
"GO:0043138",18,"GO:0004386",1.99390327901905,16,"3'-5' DNA helicase activity","helicase activity",0.89797641509434,0.457333333333333,0.824,"GO terms - g:Profiler only (no BG)"
"GO:0010484",19,"GO:0010485",1.99390327901905,15,"histone H3 acetyltransferase activity","histone H4 acetyltransferase activity",0.863990566037736,0.267210526315789,0.854,"GO terms - g:Profiler only (no BG)"
"GO:0005049",22,"GO:0005049",1.95607025630366,11,"nuclear export signal receptor activity","nuclear export signal receptor activity",0.995952830188679,0.571,0,"GO terms - g:Profiler only (no BG)"
"GO:0035198",4,"GO:0003723",1.94757108310593,39,"miRNA binding","RNA binding",0.885603773584906,0.515090909090909,0.65,"GO terms - g:Profiler only (no BG)"
"GO:0015035",24,"GO:0016972",1.94757108310593,33,"protein-disulfide reductase activity","thiol oxidase activity",0.892915094339623,0.253166666666667,0.853,"GO terms - g:Profiler only (no BG)"
"GO:0003720",15,"GO:0016772",1.92682260124381,8,"telomerase activity","transferase activity, transferring phosphorus-containing groups",0.875858490566038,0.482133333333333,0.535,"GO terms - g:Profiler only (no BG)"
"GO:0003964",15,"GO:0016772",1.92682260124381,8,"RNA-directed DNA polymerase activity","transferase activity, transferring phosphorus-containing groups",0.875433962264151,0.4804,0.538,"GO terms - g:Profiler only (no BG)"
"GO:0003678",11,"GO:0140097",1.92283958719359,58,"DNA helicase activity","catalytic activity, acting on DNA",0.885089622641509,0.397666666666667,0.864,"GO terms - g:Profiler only (no BG)"
"GO:0031369",27,"GO:0031369",1.91335702205215,38,"translation initiation factor binding","translation initiation factor binding",0.9555,1,0,"GO terms - g:Profiler only (no BG)"
"GO:0019901",7,"GO:0019899",1.89723594969363,823,"protein kinase binding","enzyme binding",0.923943396226415,0.4625,0.803,"GO terms - g:Profiler only (no BG)"
"GO:0001222",9,"GO:0008134",1.89723594969363,67,"transcription corepressor binding","transcription factor binding",0.931971698113208,0.394125,0.741,"GO terms - g:Profiler only (no BG)"
"GO:0043515",32,"GO:0043515",1.84681912116581,6,"kinetochore binding","kinetochore binding",0.975278301886792,1,0,"GO terms - g:Profiler only (no BG)"
"GO:0043199",2,"GO:1901363",1.84681912116581,6,"sulfate binding","heterocyclic compound binding",0.945731132075472,0.653307692307692,0.339,"GO terms - g:Profiler only (no BG)"
"GO:0070728",2,"GO:1901363",1.84681912116581,6,"L-leucine binding","heterocyclic compound binding",0.941952830188679,0.607076923076923,0.349,"GO terms - g:Profiler only (no BG)"
"GO:0001069",4,"GO:0003723",1.84681912116581,5,"regulatory region RNA binding","RNA binding",0.905066037735849,0.602136363636364,0.53,"GO terms - g:Profiler only (no BG)"
"GO:0031492",12,"GO:0003682",1.84342216958993,22,"nucleosomal DNA binding","chromatin binding",0.874311320754717,0.3782,0.706,"GO terms - g:Profiler only (no BG)"
"GO:0000217",6,"GO:0097159",1.84289564463694,39,"DNA secondary structure binding","organic cyclic compound binding",0.899924528301887,0.6299,0.395,"GO terms - g:Profiler only (no BG)"
"GO:0004536",3,"GO:0016887",1.81820834146149,64,"DNA nuclease activity","ATP hydrolysis activity",0.872235849056604,0.418133333333333,0.42,"GO terms - g:Profiler only (no BG)"
