"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:1903047",6,"GO:0007049",15.0854254685609,766,"mitotic cell cycle process","cell cycle",0.884405472636816,0.272152777777778,0.866,"GO terms - g:Profiler only (no BG)"
"GO:0045934",7,"GO:0048523",14.9820635147056,1537,"negative regulation of nucleobase-containing compound metabolic process","negative regulation of cellular process",0.795293532338308,0.290642857142857,0.616,"GO terms - g:Profiler only (no BG)"
"GO:0048522",68,"GO:0065007",14.82227694425,6145,"positive regulation of cellular process","biological regulation",0.889977611940298,0.6026,0.345,"GO terms - g:Profiler only (no BG)"
"GO:0006260",4,"GO:0006259",14.3272926527503,273,"DNA replication","DNA metabolic process",0.857412935323383,0.315880952380952,0.811,"GO terms - g:Profiler only (no BG)"
"GO:0051254",28,"GO:0043170",13.9130663761583,1844,"positive regulation of RNA metabolic process","macromolecule metabolic process",0.789807213930348,0.331538461538462,0.482,"GO terms - g:Profiler only (no BG)"
"GO:0010564",6,"GO:0007049",13.9053284670855,780,"regulation of cell cycle process","cell cycle",0.843599502487562,0.225430555555556,0.862,"GO terms - g:Profiler only (no BG)"
"GO:0051276",16,"GO:0051276",13.7230473926367,614,"chromosome organization","chromosome organization",0.886582089552239,0.305125,0,"GO terms - g:Profiler only (no BG)"
"GO:0000278",6,"GO:0007049",13.6795746380757,897,"mitotic cell cycle","cell cycle",0.88761815920398,0.294625,0.882,"GO terms - g:Profiler only (no BG)"
"GO:0009891",28,"GO:0043170",13.6556255963449,2828,"positive regulation of biosynthetic process","macromolecule metabolic process",0.817383084577114,0.302769230769231,0.404,"GO terms - g:Profiler only (no BG)"
"GO:0048518",68,"GO:0065007",13.5939022198253,6761,"positive regulation of biological process","biological regulation",0.911575870646766,0.6072,0.369,"GO terms - g:Profiler only (no BG)"
"GO:0010557",28,"GO:0043170",13.5761683074201,2697,"positive regulation of macromolecule biosynthetic process","macromolecule metabolic process",0.791746268656716,0.283538461538462,0.535,"GO terms - g:Profiler only (no BG)"
"GO:0006310",4,"GO:0006259",13.4212074051825,341,"DNA recombination","DNA metabolic process",0.856212686567164,0.345571428571429,0.829,"GO terms - g:Profiler only (no BG)"
"GO:0033036",29,"GO:0033036",12.8908201751192,3190,"macromolecule localization","macromolecule localization",0.939126865671642,0.380958333333333,0,"GO terms - g:Profiler only (no BG)"
"GO:0051052",4,"GO:0006259",12.8898399857676,501,"regulation of DNA metabolic process","DNA metabolic process",0.807584577114428,0.317142857142857,0.865,"GO terms - g:Profiler only (no BG)"
"GO:0051253",7,"GO:0048523",12.3929295070455,1411,"negative regulation of RNA metabolic process","negative regulation of cellular process",0.788344527363184,0.285785714285714,0.606,"GO terms - g:Profiler only (no BG)"
"GO:0006950",3,"GO:0006974",12.1799888063912,4207,"response to stress","DNA damage response",0.936866915422886,0.490238095238095,0.735,"GO terms - g:Profiler only (no BG)"
"GO:0009056",9,"GO:0009057",12.1729279904387,2746,"catabolic process","macromolecule catabolic process",0.902099502487562,0.326130434782609,0.874,"GO terms - g:Profiler only (no BG)"
"GO:0000380",14,"GO:0008380",12.0756712844897,84,"alternative mRNA splicing, via spliceosome","RNA splicing",0.853985074626866,0.326222222222222,0.839,"GO terms - g:Profiler only (no BG)"
"GO:2001141",28,"GO:0043170",11.643410348969,3313,"regulation of RNA biosynthetic process","macromolecule metabolic process",0.769570895522388,0.270384615384615,0.565,"GO terms - g:Profiler only (no BG)"
"GO:1902680",28,"GO:0043170",11.5480498350051,1705,"positive regulation of RNA biosynthetic process","macromolecule metabolic process",0.771651741293532,0.277423076923077,0.474,"GO terms - g:Profiler only (no BG)"
"GO:0006351",15,"GO:0006139",11.5151003350341,3428,"DNA-templated transcription","nucleobase-containing compound metabolic process",0.815674129353234,0.412258064516129,0.799,"GO terms - g:Profiler only (no BG)"
"GO:0044085",58,"GO:0044085",11.4932522132153,3424,"cellular component biogenesis","cellular component biogenesis",0.901702736318408,0.399,0,"GO terms - g:Profiler only (no BG)"
"GO:0006401",9,"GO:0009057",11.3716382340507,312,"RNA catabolic process","macromolecule catabolic process",0.857548507462687,0.247913043478261,0.837,"GO terms - g:Profiler only (no BG)"
"GO:0006302",3,"GO:0006974",11.3415331115217,312,"double-strand break repair","DNA damage response",0.806022388059702,0.352809523809524,0.854,"GO terms - g:Profiler only (no BG)"
"GO:0002181",21,"GO:0001732",11.3057403208189,171,"cytoplasmic translation","formation of cytoplasmic translation initiation complex",0.878537313432836,0.298222222222222,0.826,"GO terms - g:Profiler only (no BG)"
"GO:0051641",2,"GO:0051179",11.2412657527326,3649,"cellular localization","localization",0.917912935323383,0.392945945945946,0.769,"GO terms - g:Profiler only (no BG)"
"GO:0006355",28,"GO:0043170",10.9535918346558,3302,"regulation of DNA-templated transcription","macromolecule metabolic process",0.768390547263682,0.268615384615385,0.565,"GO terms - g:Profiler only (no BG)"
"GO:0006413",21,"GO:0001732",10.7185374541895,133,"translational initiation","formation of cytoplasmic translation initiation complex",0.876950248756219,0.297777777777778,0.813,"GO terms - g:Profiler only (no BG)"
"GO:0044770",6,"GO:0007049",10.6952169800399,578,"cell cycle phase transition","cell cycle",0.885241293532338,0.243722222222222,0.827,"GO terms - g:Profiler only (no BG)"
"GO:0045893",28,"GO:0043170",10.6352679409668,1702,"positive regulation of DNA-templated transcription","macromolecule metabolic process",0.770657960199005,0.276115384615385,0.474,"GO terms - g:Profiler only (no BG)"
"GO:0046907",2,"GO:0051179",10.3373418805632,1375,"intracellular transport","localization",0.916692786069652,0.338945945945946,0.631,"GO terms - g:Profiler only (no BG)"
"GO:0051246",31,"GO:0019538",10.290647810983,2249,"regulation of protein metabolic process","protein metabolic process",0.819456467661692,0.337833333333333,0.768,"GO terms - g:Profiler only (no BG)"
"GO:0051168",2,"GO:0051179",10.2509555311476,178,"nuclear export","localization",0.925269900497512,0.398702702702703,0.472,"GO terms - g:Profiler only (no BG)"
"GO:0000724",4,"GO:0006259",10.0591973990497,178,"double-strand break repair via homologous recombination","DNA metabolic process",0.814468905472637,0.353261904761905,0.77,"GO terms - g:Profiler only (no BG)"
"GO:0042254",58,"GO:0044085",9.95895843775967,320,"ribosome biogenesis","cellular component biogenesis",0.913101990049751,0.402636363636364,0.711,"GO terms - g:Profiler only (no BG)"
"GO:0000725",4,"GO:0006259",9.88217016444177,183,"recombinational repair","DNA metabolic process",0.81481592039801,0.358095238095238,0.772,"GO terms - g:Profiler only (no BG)"
"GO:0045892",7,"GO:0048523",9.70943869025086,1297,"negative regulation of DNA-templated transcription","negative regulation of cellular process",0.769957711442786,0.265714285714286,0.647,"GO terms - g:Profiler only (no BG)"
"GO:0006403",29,"GO:0033036",9.69330649527387,182,"RNA localization","macromolecule localization",0.948793532338308,0.470666666666667,0.664,"GO terms - g:Profiler only (no BG)"
"GO:1902679",7,"GO:0048523",9.61126488893352,1306,"negative regulation of RNA biosynthetic process","negative regulation of cellular process",0.770839552238806,0.265071428571429,0.648,"GO terms - g:Profiler only (no BG)"
"GO:0006913",2,"GO:0051179",9.58124821114762,366,"nucleocytoplasmic transport","localization",0.922028606965174,0.364972972972973,0.514,"GO terms - g:Profiler only (no BG)"
"GO:0051169",2,"GO:0051179",9.58124821114762,366,"nuclear transport","localization",0.922021144278607,0.364891891891892,0.515,"GO terms - g:Profiler only (no BG)"
"GO:0051603",9,"GO:0009057",9.49888685868737,895,"proteolysis involved in protein catabolic process","macromolecule catabolic process",0.87471144278607,0.285,0.91,"GO terms - g:Profiler only (no BG)"
"GO:0006364",15,"GO:0006139",9.47936518971192,217,"rRNA processing","nucleobase-containing compound metabolic process",0.797297263681592,0.474096774193548,0.497,"GO terms - g:Profiler only (no BG)"
"GO:0070727",29,"GO:0033036",9.47250006112241,2714,"cellular macromolecule localization","macromolecule localization",0.915937810945274,0.355583333333333,0.929,"GO terms - g:Profiler only (no BG)"
"GO:0033365",29,"GO:0033036",9.25371948223523,1014,"protein localization to organelle","macromolecule localization",0.920549751243781,0.317458333333333,0.805,"GO terms - g:Profiler only (no BG)"
"GO:0006405",30,"GO:0006405",9.23931714387938,92,"RNA export from nucleus","RNA export from nucleus",0.919512437810945,0.2087,0,"GO terms - g:Profiler only (no BG)"
"GO:0051128",52,"GO:0051128",9.2361223526231,2714,"regulation of cellular component organization","regulation of cellular component organization",0.851861940298507,0.3538,0,"GO terms - g:Profiler only (no BG)"
"GO:0019081",55,"GO:0019081",9.21879253893572,22,"viral translation","viral translation",0.992129353233831,0.296888888888889,0,"GO terms - g:Profiler only (no BG)"
"GO:0008104",29,"GO:0033036",9.17712139157357,2702,"protein localization","macromolecule localization",0.915929104477612,0.355166666666667,0.929,"GO terms - g:Profiler only (no BG)"
"GO:0000381",14,"GO:0008380",8.87395280764043,63,"regulation of alternative mRNA splicing, via spliceosome","RNA splicing",0.821261194029851,0.296222222222222,0.819,"GO terms - g:Profiler only (no BG)"
"GO:0036211",8,"GO:0043412",8.82612942629618,2954,"protein modification process","macromolecule modification",0.865718905472637,0.407162162162162,0.954,"GO terms - g:Profiler only (no BG)"
"GO:1901987",6,"GO:0007049",8.7716634244714,475,"regulation of cell cycle phase transition","cell cycle",0.845562189054726,0.202361111111111,0.806,"GO terms - g:Profiler only (no BG)"
"GO:0016072",15,"GO:0006139",8.76555807771694,258,"rRNA metabolic process","nucleobase-containing compound metabolic process",0.878485074626866,0.55458064516129,0.509,"GO terms - g:Profiler only (no BG)"
"GO:0019941",9,"GO:0009057",8.740053148769,725,"modification-dependent protein catabolic process","macromolecule catabolic process",0.877715174129353,0.29395652173913,0.877,"GO terms - g:Profiler only (no BG)"
"GO:0075522",55,"GO:0019081",8.70496111171573,11,"IRES-dependent viral translational initiation","viral translation",0.992409203980099,0.321888888888889,0.96,"GO terms - g:Profiler only (no BG)"
"GO:0043632",9,"GO:0009057",8.69039726060996,730,"modification-dependent macromolecule catabolic process","macromolecule catabolic process",0.892646766169154,0.309347826086957,0.877,"GO terms - g:Profiler only (no BG)"
"GO:0006282",4,"GO:0006259",8.64036354672949,220,"regulation of DNA repair","DNA metabolic process",0.77023631840796,0.337190476190476,0.788,"GO terms - g:Profiler only (no BG)"
"GO:0022613",58,"GO:0044085",8.56548962798443,452,"ribonucleoprotein complex biogenesis","cellular component biogenesis",0.911592039800995,0.398090909090909,0.735,"GO terms - g:Profiler only (no BG)"
"GO:0030163",9,"GO:0009057",8.47966768324503,1163,"protein catabolic process","macromolecule catabolic process",0.872946517412935,0.272173913043478,0.939,"GO terms - g:Profiler only (no BG)"
"GO:0010498",32,"GO:0010498",8.463856637449,655,"proteasomal protein catabolic process","proteasomal protein catabolic process",0.878781094527363,0.273090909090909,0,"GO terms - g:Profiler only (no BG)"
"GO:0051649",2,"GO:0051179",8.39731610170928,2126,"establishment of localization in cell","localization",0.916167910447761,0.356216216216216,0.684,"GO terms - g:Profiler only (no BG)"
"GO:0006511",9,"GO:0009057",8.37224753745027,713,"ubiquitin-dependent protein catabolic process","macromolecule catabolic process",0.877835820895522,0.294608695652174,0.876,"GO terms - g:Profiler only (no BG)"
"GO:0044772",6,"GO:0007049",8.20155225186509,455,"mitotic cell cycle phase transition","cell cycle",0.882967661691542,0.231847222222222,0.8,"GO terms - g:Profiler only (no BG)"
"GO:0050658",30,"GO:0006405",8.14623552919178,154,"RNA transport","RNA export from nucleus",0.943507462686567,0.2048,0.968,"GO terms - g:Profiler only (no BG)"
"GO:0050657",30,"GO:0006405",8.14623552919178,154,"nucleic acid transport","RNA export from nucleus",0.950083333333333,0.2048,0.968,"GO terms - g:Profiler only (no BG)"
"GO:0034502",29,"GO:0033036",8.12272295256547,123,"protein localization to chromosome","macromolecule localization",0.932259950248756,0.376541666666667,0.631,"GO terms - g:Profiler only (no BG)"
"GO:0033044",16,"GO:0051276",8.11227281906313,257,"regulation of chromosome organization","chromosome organization",0.849323383084577,0.287875,0.891,"GO terms - g:Profiler only (no BG)"
"GO:0006402",9,"GO:0009057",8.09766471033298,265,"mRNA catabolic process","macromolecule catabolic process",0.780650497512438,0.25604347826087,0.817,"GO terms - g:Profiler only (no BG)"
"GO:0006412",21,"GO:0001732",8.03894937074562,725,"translation","formation of cytoplasmic translation initiation complex",0.859753731343284,0.359,0.67,"GO terms - g:Profiler only (no BG)"
"GO:0051236",29,"GO:0033036",8.01548132665857,157,"establishment of RNA localization","macromolecule localization",0.947833333333333,0.47575,0.652,"GO terms - g:Profiler only (no BG)"
"GO:0006366",15,"GO:0006139",8.01117586895412,2658,"transcription by RNA polymerase II","nucleobase-containing compound metabolic process",0.823613184079602,0.435774193548387,0.733,"GO terms - g:Profiler only (no BG)"
"GO:0050000",5,"GO:0050000",8.01037461580416,124,"chromosome localization","chromosome localization",0.950335820895522,0.258782608695652,0,"GO terms - g:Profiler only (no BG)"
"GO:0019080",55,"GO:0019081",7.91315842658317,79,"viral gene expression","viral translation",0.991950248756219,0.280888888888889,0.922,"GO terms - g:Profiler only (no BG)"
"GO:0034504",29,"GO:0033036",7.72794308722867,340,"protein localization to nucleus","macromolecule localization",0.926819651741294,0.346083333333333,0.695,"GO terms - g:Profiler only (no BG)"
"GO:0006406",30,"GO:0006405",7.69745034781033,74,"mRNA export from nucleus","RNA export from nucleus",0.837149253731343,0.2192,0.975,"GO terms - g:Profiler only (no BG)"
"GO:0007059",6,"GO:0007049",7.67023938793036,433,"chromosome segregation","cell cycle",0.886324626865672,0.274027777777778,0.819,"GO terms - g:Profiler only (no BG)"
"GO:0032200",16,"GO:0051276",7.6589127142444,159,"telomere organization","chromosome organization",0.893848258706468,0.2535625,0.882,"GO terms - g:Profiler only (no BG)"
"GO:0000723",16,"GO:0051276",7.6589127142444,153,"telomere maintenance","chromosome organization",0.778665422885572,0.2520625,0.878,"GO terms - g:Profiler only (no BG)"
"GO:0075525",55,"GO:0019081",7.62877099528849,5,"viral translational termination-reinitiation","viral translation",0.992665422885572,0.344777777777778,0.924,"GO terms - g:Profiler only (no BG)"
"GO:0000280",12,"GO:0071840",7.61041196671634,468,"nuclear division","cellular component organization or biogenesis",0.895129353233831,0.328916666666667,0.522,"GO terms - g:Profiler only (no BG)"
"GO:0051656",5,"GO:0050000",7.58182773650561,500,"establishment of organelle localization","chromosome localization",0.944810945273632,0.254782608695652,0.83,"GO terms - g:Profiler only (no BG)"
"GO:0006367",27,"GO:0006367",7.54008666184179,159,"transcription initiation at RNA polymerase II promoter","transcription initiation at RNA polymerase II promoter",0.86207960199005,0.45485,0,"GO terms - g:Profiler only (no BG)"
"GO:0010629",7,"GO:0048523",7.51022055774772,1351,"negative regulation of gene expression","negative regulation of cellular process",0.796783582089552,0.311928571428571,0.667,"GO terms - g:Profiler only (no BG)"
"GO:0051303",5,"GO:0050000",7.36104457072344,117,"establishment of chromosome localization","chromosome localization",0.925348258706468,0.243,0.995,"GO terms - g:Profiler only (no BG)"
"GO:0006354",27,"GO:0006367",7.31553686777842,121,"DNA-templated transcription elongation","transcription initiation at RNA polymerase II promoter",0.867883084577114,0.48935,0.426,"GO terms - g:Profiler only (no BG)"
"GO:0006357",15,"GO:0006139",7.26222925021737,2560,"regulation of transcription by RNA polymerase II","nucleobase-containing compound metabolic process",0.779216417910448,0.424387096774194,0.719,"GO terms - g:Profiler only (no BG)"
"GO:0040029",26,"GO:0006325",7.21816847865218,319,"epigenetic regulation of gene expression","chromatin organization",0.804855721393035,0.293428571428571,0.892,"GO terms - g:Profiler only (no BG)"
"GO:0048285",12,"GO:0071840",7.20997237243653,526,"organelle fission","cellular component organization or biogenesis",0.894772388059701,0.330416666666667,0.53,"GO terms - g:Profiler only (no BG)"
"GO:0006508",32,"GO:0010498",7.1194524621834,1891,"proteolysis","proteasomal protein catabolic process",0.880271144278607,0.344090909090909,0.857,"GO terms - g:Profiler only (no BG)"
"GO:0006997",34,"GO:0006997",7.11612738158942,156,"nucleus organization","nucleus organization",0.914139303482587,0.306,0,"GO terms - g:Profiler only (no BG)"
"GO:0000122",7,"GO:0048523",7.08562566817398,984,"negative regulation of transcription by RNA polymerase II","negative regulation of cellular process",0.779128109452736,0.302928571428571,0.604,"GO terms - g:Profiler only (no BG)"
"GO:0006996",12,"GO:0071840",7.0829925226122,3707,"organelle organization","cellular component organization or biogenesis",0.886553482587065,0.413166666666667,0.754,"GO terms - g:Profiler only (no BG)"
"GO:1901988",6,"GO:0007049",7.02188960077553,286,"negative regulation of cell cycle phase transition","cell cycle",0.829476368159204,0.193972222222222,0.765,"GO terms - g:Profiler only (no BG)"
"GO:0051028",30,"GO:0006405",6.99075446944837,126,"mRNA transport","RNA export from nucleus",0.944998756218906,0.2174,0.942,"GO terms - g:Profiler only (no BG)"
